nodeId,title,description,duration,cost,status,nodeType,pid1,pid9,pid2,pid3,pid4,pid5,pid6,pid7,pid8,pid10,pid11,pid12,pid13
301,Modify a custom media player based on tkinter python ,"We have created a media player on Tkinter python to be able to crop videos and have added voice recognition
 to crop videos. But the current developer is not able to continue due to medical emergency and there are certain
 Functionalities which are pending/incomplete.",3 month,100,open,idea,616,103,617,618,622,623,624,625,626,806,808,809,627
302,Magento 2 Olegnax bug fix ,"Hey we have a problem with our banner slider, we can no longer edit the images from our admin panel,It did work 5 days ago",2 month,89,open,idea,601,107,603,604,605,616,615,null,null,804,805,806,null
303,"Create a window service to logon the windows user 
session with different user given in some text / config
 File ",Create a window service to logon the windows user session with different user given in some text / config file ,4 month,98,open,idea,602,107,607,623,628,619,null,null,null,807,808,809,null
304," Build custom framework included 3rd party framework 
without Cocoapods on iOS ","1. 3rd party framework with cocoapods include in custom framework
2. It must be work normally on the test source code using Swift
3. I want to fix custom framework that I am currently working on through a remote work",5 month,67,open,idea,601,104,603,609,614,629,null,null,null,810,811,812,null
305,Website HTML 5 pages ,"We are looking for developers to work on a continuous basis:

I need your best quotation for developing a 5 pages website in HTML

• Simple and clean Design

• 2 Slideshows

• Backend for manage content",4 month,98,open,idea,601,107,602,604,605,613,624,null,null,813,814,815,null
306,"Need a website for my new recruitment firm and 
Medical Tourism abroad ","My main company will have two sub domains - 1) recruitment and placement abroad, 2) Medical Tourism
 Like have to bring patients from abroad to india and doctors will go abroad for OP to the hospitals .",5 month,99,open,idea,613,103,614,615,616,617,618,619,620,805,806,807,621
307,develop SaaS solution to our website ,"We need an web application
The price is max 300 euros (no negotiation please)
we can buy for you also libraries that you want
First Display
- It needs a simple authentication to access
- It access to internal Excel/CSV files that structure can dynamically changes of course insert data to mysql database
- The user should select one or more table to process, he can combine also many tables that have the same structure of course.
- The user can also delete data files
Second Display
The web application should display 4 fragments
1) First Fragment:
- The User will see on left corner of web application all database data.
- In the right of web application: it will displays all values of selected headers: they are displayed as lines.

",6 month,78,open,idea,604,103,605,606,607,608,609,610,611,802,803,804,612
308,Real estate finder,"I would like to build a two language portal that helps owners list their properties for sale or rent. The site should be dual
 languages English and Arabic, using the latest technologies.
The site will include the ability to add pictures and videos of the property and define map location.
The property detail will include the type of property, a single-family, townhouse, apartment or multifamily structure.
 The size of a property can be described in square feet or meters. Property's all detail like a year if built, lot area, price, the
 Price per square feet and description should also be included.",5 month,87,open,idea,601,102,602,604,605,613,624,null,null,807,808,809,null
309,Robotics Automation ,"We are starting up a project to deliver a automation with logically thinking to a financial department. The purpose of this project
 is to include you on a early stage of the project and gather necessary information for how to proceed with automation.
 We expect you to have prior knowledge of RPA development indenpendet of which platform you have used.",3 month,97,open,idea,607,103,608,609,610,611,612,613,614,803,804,805,615
310,"Set up a cloud based instance of a piece of windows
 Software on AWS. -- 5","Hi I am looking for someone to set up a cloud based instance of the following software. and host it responsively as an
 Application in the cloud using AWS.
the software is [login to view URL]
I have also found these possible products which may be suitable to host this.
[login to view URL]
[login to view URL]",4 month,89,open,idea,601,103,602,603,604,605,606,607,608,801,802,803,609
